facet_count,median_loss,q25,q75
1,0.0,0.0,0.0
2,0.125,0.10416666666666663,0.125
3,0.1875,0.14583333333333337,0.20833333333333337
4,0.22916666666666663,0.20833333333333337,0.25
5,0.29166666666666663,0.25,0.3125
6,0.3229166666666667,0.29166666666666663,0.35416666666666663
7,0.35416666666666663,0.31770833333333337,0.390625
8,0.375,0.35416666666666663,0.41666666666666663
9,0.41666666666666663,0.39583333333333337,0.45833333333333337
10,0.4375,0.39583333333333337,0.45833333333333337
11,0.45833333333333337,0.4375,0.47916666666666663
12,0.47916666666666663,0.45833333333333337,0.515625
