building_id,surface_uid,physical_facet_uid,component_size
DEBW522AA0000c243,S0001,DEBW522AA0000c243_PF001,1
DEBW522AA0000c243,S0002,DEBW522AA0000c243_PF002,2
DEBW522AA0000c243,S0003,DEBW522AA0000c243_PF002,2
DEBW522AA0000c243,S0004,DEBW522AA0000c243_PF003,1
DEBW522AA0000c243,S0005,DEBW522AA0000c243_PF004,1
DEBW522AA0000c243,S0006,DEBW522AA0000c243_PF005,1
DEBW522AA0000c243,S0007,DEBW522AA0000c243_PF006,1
DEBW522AA0002496d,S0008,DEBW522AA0002496d_PF001,1
DEBW522AA0002496d,S0009,DEBW522AA0002496d_PF002,1
DEBW522AA0002496d,S0010,DEBW522AA0002496d_PF003,1
DEBW522AA00040850,S0011,DEBW522AA00040850_PF001,2
DEBW522AA00040850,S0013,DEBW522AA00040850_PF001,2
DEBW522AA00040850,S0012,DEBW522AA00040850_PF002,1
DEBW522AA00040850,S0014,DEBW522AA00040850_PF003,1
DEBW522AA00040850,S0015,DEBW522AA00040850_PF004,1
DEBW522AA00040850,S0016,DEBW522AA00040850_PF005,1
DEBW522AA00040850,S0017,DEBW522AA00040850_PF006,2
DEBW522AA00040850,S0018,DEBW522AA00040850_PF006,2
DEBW522AA00034018,S0019,DEBW522AA00034018_PF001,1
DEBW522AA00034018,S0020,DEBW522AA00034018_PF002,1
DEBW522AA00034018,S0021,DEBW522AA00034018_PF003,1
DEBW522AA0002574d,S0022,DEBW522AA0002574d_PF001,1
DEBW522AA0002574d,S0023,DEBW522AA0002574d_PF002,2
DEBW522AA0002574d,S0024,DEBW522AA0002574d_PF002,2
DEBW522AA0002574d,S0025,DEBW522AA0002574d_PF003,1
DEBW522AA0002574d,S0026,DEBW522AA0002574d_PF004,2
DEBW522AA0002574d,S0027,DEBW522AA0002574d_PF004,2
DEBW522AA0002574d,S0028,DEBW522AA0002574d_PF005,1
DEBW522AA0002574d,S0029,DEBW522AA0002574d_PF006,2
DEBW522AA0002574d,S0030,DEBW522AA0002574d_PF006,2
DEBW522AA0002574d,S0031,DEBW522AA0002574d_PF007,1
DEBW522AA0002574d,S0032,DEBW522AA0002574d_PF008,2
DEBW522AA0002574d,S0033,DEBW522AA0002574d_PF008,2
DEBW522AA0002574d,S0034,DEBW522AA0002574d_PF009,2
DEBW522AA0002574d,S0035,DEBW522AA0002574d_PF009,2
DEBW522AA0002574d,S0036,DEBW522AA0002574d_PF010,2
DEBW522AA0002574d,S0040,DEBW522AA0002574d_PF010,2
DEBW522AA0002574d,S0037,DEBW522AA0002574d_PF011,2
DEBW522AA0002574d,S0045,DEBW522AA0002574d_PF011,2
DEBW522AA0002574d,S0038,DEBW522AA0002574d_PF012,2
DEBW522AA0002574d,S0039,DEBW522AA0002574d_PF012,2
DEBW522AA0002574d,S0041,DEBW522AA0002574d_PF013,2
DEBW522AA0002574d,S0042,DEBW522AA0002574d_PF013,2
DEBW522AA0002574d,S0043,DEBW522AA0002574d_PF014,2
DEBW522AA0002574d,S0044,DEBW522AA0002574d_PF014,2
DEBW522AA0002574d,S0046,DEBW522AA0002574d_PF015,2
DEBW522AA0002574d,S0047,DEBW522AA0002574d_PF015,2
DEBW522AA0002574d,S0048,DEBW522AA0002574d_PF016,2
DEBW522AA0002574d,S0049,DEBW522AA0002574d_PF016,2
DEBW522AA0002574d,S0050,DEBW522AA0002574d_PF017,2
DEBW522AA0002574d,S0051,DEBW522AA0002574d_PF017,2
DEBW522AA0002574d,S0052,DEBW522AA0002574d_PF018,2
DEBW522AA0002574d,S0053,DEBW522AA0002574d_PF018,2
DEBW522AA0002574d,S0054,DEBW522AA0002574d_PF019,1
DEBW522AA0002574d,S0055,DEBW522AA0002574d_PF020,1
DEBW522AA0002574d,S0056,DEBW522AA0002574d_PF021,1
DEBW522AA0002574d,S0057,DEBW522AA0002574d_PF022,1
DEBW522AA0002574d,S0058,DEBW522AA0002574d_PF023,2
DEBW522AA0002574d,S0059,DEBW522AA0002574d_PF023,2
DEBW522AA0002574d,S0060,DEBW522AA0002574d_PF024,2
DEBW522AA0002574d,S0061,DEBW522AA0002574d_PF024,2
DEBW522AA0002574d,S0062,DEBW522AA0002574d_PF025,1
DEBW522AA0002574d,S0063,DEBW522AA0002574d_PF026,2
DEBW522AA0002574d,S0064,DEBW522AA0002574d_PF026,2
DEBW522AA0002574d,S0065,DEBW522AA0002574d_PF027,1
DEBW522AA0002574d,S0066,DEBW522AA0002574d_PF028,2
DEBW522AA0002574d,S0067,DEBW522AA0002574d_PF028,2
DEBW522AA0002574d,S0068,DEBW522AA0002574d_PF029,2
DEBW522AA0002574d,S0069,DEBW522AA0002574d_PF029,2
DEBW522AA0002574d,S0070,DEBW522AA0002574d_PF030,1
DEBW522AA0002574d,S0071,DEBW522AA0002574d_PF031,2
DEBW522AA0002574d,S0072,DEBW522AA0002574d_PF031,2
DEBW522AA0002574d,S0073,DEBW522AA0002574d_PF032,2
DEBW522AA0002574d,S0074,DEBW522AA0002574d_PF032,2
DEBW522AA0002574d,S0075,DEBW522AA0002574d_PF033,1
DEBW522AA0002574d,S0076,DEBW522AA0002574d_PF034,1
DEBW522AA0002574d,S0077,DEBW522AA0002574d_PF035,2
DEBW522AA0002574d,S0078,DEBW522AA0002574d_PF035,2
DEBW522AA0002574d,S0079,DEBW522AA0002574d_PF036,2
DEBW522AA0002574d,S0080,DEBW522AA0002574d_PF036,2
DEBW522AA0002574d,S0081,DEBW522AA0002574d_PF037,1
DEBW522AA0002574d,S0082,DEBW522AA0002574d_PF038,2
DEBW522AA0002574d,S0083,DEBW522AA0002574d_PF038,2
DEBW522AA0002574d,S0084,DEBW522AA0002574d_PF039,2
DEBW522AA0002574d,S0085,DEBW522AA0002574d_PF039,2
DEBW522AA0002574d,S0086,DEBW522AA0002574d_PF040,2
DEBW522AA0002574d,S0087,DEBW522AA0002574d_PF040,2
DEBW522AA0002574d,S0088,DEBW522AA0002574d_PF041,2
DEBW522AA0002574d,S0089,DEBW522AA0002574d_PF041,2
DEBW522AA0002574d,S0090,DEBW522AA0002574d_PF042,1
DEBW522AA0002574d,S0091,DEBW522AA0002574d_PF043,2
DEBW522AA0002574d,S0092,DEBW522AA0002574d_PF043,2
DEBW522AA0002574d,S0093,DEBW522AA0002574d_PF044,2
DEBW522AA0002574d,S0094,DEBW522AA0002574d_PF044,2
DEBW522AA0002574d,S0095,DEBW522AA0002574d_PF045,2
DEBW522AA0002574d,S0096,DEBW522AA0002574d_PF045,2
DEBW522AA0002574d,S0097,DEBW522AA0002574d_PF046,2
DEBW522AA0002574d,S0098,DEBW522AA0002574d_PF046,2
DEBW522AA0002574d,S0099,DEBW522AA0002574d_PF047,2
DEBW522AA0002574d,S0100,DEBW522AA0002574d_PF047,2
DEBW522AA0002574d,S0101,DEBW522AA0002574d_PF048,2
DEBW522AA0002574d,S0102,DEBW522AA0002574d_PF048,2
DEBW522AA0002574d,S0103,DEBW522AA0002574d_PF049,1
DEBW522AA0002574d,S0104,DEBW522AA0002574d_PF050,1
DEBW522AA0002574d,S0105,DEBW522AA0002574d_PF051,1
DEBW522AA0002574d,S0106,DEBW522AA0002574d_PF052,1
DEBW522AA0002574d,S0107,DEBW522AA0002574d_PF053,1
DEBW522AA0002574d,S0108,DEBW522AA0002574d_PF054,1
DEBW522AA0002574d,S0110,DEBW522AA0002574d_PF055,2
DEBW522AA0002574d,S0111,DEBW522AA0002574d_PF055,2
DEBW522AA0002574d,S0112,DEBW522AA0002574d_PF056,1
DEBW522AA0002574d,S0113,DEBW522AA0002574d_PF057,2
DEBW522AA0002574d,S0114,DEBW522AA0002574d_PF057,2
DEBW522AA0002574d,S0115,DEBW522AA0002574d_PF058,1
DEBW522AA0002574d,S0116,DEBW522AA0002574d_PF059,1
DEBW522AA0002574d,S0117,DEBW522AA0002574d_PF060,1
DEBW522AA0002574d,S0118,DEBW522AA0002574d_PF061,1
DEBW522AA0002574d,S0119,DEBW522AA0002574d_PF062,1
DEBW522AA0002574d,S0120,DEBW522AA0002574d_PF063,2
DEBW522AA0002574d,S0121,DEBW522AA0002574d_PF063,2
DEBW522AA0002574d,S0122,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0123,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0138,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0139,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0124,DEBW522AA0002574d_PF065,2
DEBW522AA0002574d,S0144,DEBW522AA0002574d_PF065,2
DEBW522AA0002574d,S0125,DEBW522AA0002574d_PF066,1
DEBW522AA0002574d,S0126,DEBW522AA0002574d_PF067,1
DEBW522AA0002574d,S0127,DEBW522AA0002574d_PF068,1
DEBW522AA0002574d,S0128,DEBW522AA0002574d_PF069,2
